,구군,명칭,주소,위도,경도
0,중구,남산병원,대구광역시 중구 남산로13길 9,35.861439,128.580506
1,중구,우리들병원,대구광역시 중구 국채보상로 648,35.8684573,128.6056251
2,중구,MS재건병원,대구광역시 중구 동덕로 194,35.860543,128.6040235
3,중구,분홍빛으로병원,대구광역시 중구 동덕로 141,35.860543,128.6040235
4,중구,광개토병원,대구광역시 중구 중앙대로 366,35.8667152,128.593521
5,중구,누네안과병원,대구광역시 중구 달구벌대로 2179,35.863796,128.6044029
6,중구,척탑병원,대구광역시 중구 달구벌대로 1999,35.863796,128.6044029
7,중구,라파엘병원,대구광역시 중구 중앙대로 303,35.8693403,128.5937501
8,중구,푸른병원,대구광역시 중구 태평로 102,35.8744093,128.5979207
9,중구,으뜸병원,대구광역시 중구 국채보상로 536,35.8703485,128.592908
10,중구,삼육오엠씨병원,대구광역시 중구 명륜로23길 106,35.8625515,128.5953928
11,수성구,인제재활병원,대구광역시 수성구 신천동로84길 21,35.8613567,128.6112812
12,수성구,의료법인경동의료재단효성병원,대구광역시 수성구 수성로 194,35.8598073,128.6141271
13,수성구,파티마여성병원,대구광역시 수성구 달구벌대로 3119,35.8501654,128.6662139
14,수성구,의료법인해정의료재단더좋은병원,대구광역시 수성구 명덕로 443,35.8547387,128.6190387
15,수성구,의료법인춘곡의료재단수성메트로병원,대구광역시 수성구 무열로 5,35.87145,128.64825
16,수성구,W여성병원,대구광역시 수성구 화랑로 58,35.8763449,128.6540857
17,수성구,여성메디파크병원,대구광역시 수성구 동대구로 271,35.8594722,128.6261407
18,수성구,동인외과병원,대구광역시 수성구 화랑로 48,35.8763449,128.6540857
19,수성구,수성한미병원,대구광역시 수성구 달구벌대로 2348,35.8501654,128.6662139
20,수성구,시지열린아동병원,대구광역시 수성구 달구벌대로 3188,35.8501654,128.6662139
21,수성구,굳센병원,대구광역시 수성구 국채보상로 830,35.8661571,128.639158
22,수성구,수성아동병원,대구광역시 수성구 명덕로 424,35.8544319,128.6157626
23,수성구,올곧은병원,대구광역시 수성구 화랑로 66,35.8763449,128.6540857
24,서구,한신병원,대구광역시 서구 서대구로 60,35.8634736,128.5565221
25,서구,참튼튼병원,대구광역시 서구 달구벌대로 1807,35.8583249,128.5585423
26,서구,제이병원,대구광역시 서구 달구벌대로 1677,35.8583249,128.5585423
27,서구,열린큰병원,대구광역시 서구 달구벌대로 1877,35.8583249,128.5585423
28,서구,세민병원,대구광역시 서구 국채보상로 302,35.8689204,128.5465659
29,서구,새동산병원,대구광역시 서구 국채보상로 379,35.8689204,128.5465659
30,서구,더필병원,대구광역시 서구 서대구로 194,35.8800042,128.554914
31,서구,대명의료재단 서대구병원,대구광역시 서구 국채보상로 200,35.8689204,128.5465659
32,북구,신세계병원,대구광역시 북구 동북로 196,35.8995215,128.6092169
33,북구,대구삼선병원,대구광역시 북구 칠곡중앙대로 448,35.9199402,128.5466535
34,북구,한성병원,대구광역시 북구 칠성남로30길 28,35.8765421,128.5973779
35,북구,대구병원,대구광역시 북구 칠곡중앙대로 194,35.9199402,128.5466535
36,북구,대구시티병원,대구광역시 북구 동북로 270,35.8995215,128.6092169
37,북구,로즈마리병원,대구광역시 북구 팔거천동로 215,35.9431718,128.55769873629015
38,북구,의료법인 백산의료재단 K마디병원,대구광역시 북구 팔달로 217,35.8886112,128.5737552
39,북구,의료법인강의료재단 강병원,대구광역시 북구 노원로 70,35.8897073,128.5623843
40,북구,대구보건대학교병원,대구광역시 북구 팔거천동로 209,35.94273445,128.5576206601782
41,북구,뉴라이프병원,대구광역시 북구 공항로 15,35.8972215,128.6165747
42,북구,늘시원한위대항병원,"대구광역시 북구 동북로 163,",35.9022757,128.6008596
43,북구,근로복지공단 대구병원,대구광역시 북구 학정로 515,35.9507478,128.5640347475353
44,북구,무지개아동병원,대구광역시 북구 침산로 138,35.8833628,128.5901384
45,북구,척척병원,대구광역시 북구 칠곡중앙대로 519,35.9199402,128.5466535
46,북구,해피아이병원,대구광역시 북구 팔거천동로 213,35.942974750000005,128.5576888954924
47,북구,침산제이병원,대구광역시 북구 침산남로 94,35.8864111,128.600179
48,북구,의료법인 효민의료재단 큰사랑병원,대구광역시 북구 대현로 46,35.8862833,128.6022095
49,북구,대구서울병원,대구광역시 북구 대학로 143,35.8907244,128.6058824
50,북구,경대자연병원,대구광역시 북구 동화천로 241,35.9415666,128.6215719
51,북구,의료법인 대구의료재단 케이병원,대구광역시 북구 칠곡중앙대로 357,35.9199402,128.5466535
52,북구,미래병원,대구광역시 북구 신암로 55,35.8749335,128.6053692
53,북구,우리아이아동병원,대구광역시 북구 동북로 244,35.8995215,128.6092169
54,동구,제일안과병원,대구광역시 동구 아양로 1,35.8826878,128.6186138
55,동구,의료법인 백천의료재단 바로본병원,대구광역시 동구 국채보상로 769,35.8667699,128.6295433
56,동구,진병원,대구광역시 동구 경안로 719,35.88621,128.7189358
57,동구,한가람병원,대구광역시 동구 해동로 101,35.8949963,128.6376428
58,동구,든든한병원,대구광역시 동구 신암로 120,35.8774839,128.6071275
59,동구,웰키즈아동병원,대구광역시 동구 안심로 389,35.87223,128.69024
60,달성군,열린중앙병원,대구광역시 달성군 논공읍 논공로,35.7326268,128.4550938
61,달성군,한솔병원,대구광역시 달성군 다사읍 달구벌대로,35.8535229,128.4384196
62,달성군,화원연세병원,대구광역시 달성군 화원읍 비슬로,35.7996919,128.4907586
63,달성군,행복한 병원,대구광역시 달성군 유가읍 테크노순환로12길,35.6973327,128.4843543
64,달성군,지혜로운아동병원,대구광역시 달성군 현풍읍 테크노상업로,35.692082,128.4535078
65,달성군,더퍼스트병원,대구광역시 달성군 화원읍 비슬로,35.7996919,128.4907586
66,달성군,우리허브병원,대구광역시 달성군 현풍읍 테크노상업로,35.692082,128.4535078
67,달서구,의료법인 일민의료재단 세강병원,대구광역시 달서구 구마로 220,35.8372531,128.5467398
68,달서구,(의)서봉의료재단 보강병원,대구광역시 달서구 월배로 102,35.8172248,128.5296045
69,달서구,보광병원,대구광역시 달서구 구마로 128,35.8372531,128.5467398
70,달서구,성서병원,대구광역시 달서구 달구벌대로 1152,35.8593142,128.5638488
71,달서구,의료법인명문의료재단 대구기독병원,대구광역시 달서구 달구벌대로 1750,35.8593142,128.5638488
72,달서구,의료법인열경의료재단 허병원,대구광역시 달서구 학산로 121,35.8312126,128.5354662
73,달서구,미래여성병원,대구광역시 달서구 와룡로 207,35.8435651,128.5370638
74,달서구,달서미즈맘병원,대구광역시 달서구 월배로 62,35.813249299999995,128.52129566536215
75,달서구,진천신라병원,대구광역시 달서구 월배로 10,35.8172248,128.5296045
76,달서구,한미병원,대구광역시 달서구 이곡동로 66,35.8545947,128.5126404
77,달서구,에스병원,대구광역시 달서구 와룡로 57,35.8435651,128.5370638
78,달서구,열린아동병원,대구광역시 달서구 달구벌대로 1542,35.8593142,128.5638488
79,달서구,마디탄탄병원,대구광역시 달서구 월배로 215,35.8172248,128.5296045
80,달서구,의료법인상보의료재단 대구경상병원,대구광역시 달서구 달구벌대로 1762,35.8593142,128.5638488
81,달서구,참조은병원,대구광역시 달서구 월배로 404,35.8172248,128.5296045
82,달서구,여성아이병원,대구광역시 달서구 월배로 141,35.8172248,128.5296045
83,달서구,더열린병원,대구광역시 달서구 달구벌대로 1571,35.8593142,128.5638488
84,달서구,의료법인해성의료재단해성병원,대구광역시 달서구 계대동문로 96,35.8550731,128.5027638
85,달서구,우리병원,대구광역시 달서구 와룡로 48,35.8542967,128.5373379
86,달서구,백두병원,대구광역시 달서구 월배로 18,35.8172248,128.5296045
87,달서구,더나은병원,대구광역시 달서구 달구벌대로 1576,35.8593142,128.5638488
88,남구,문성병원,"대구광역시 남구 성당로 168,",35.8425993,128.5613922
89,남구,힘센병원,대구광역시 남구 봉덕로 71,0.0,0.0
90,남구,리더스재활의학병원,대구광역시 남구 성당로 268,35.8425993,128.5613922
91,남구,한영한마음아동병원,대구광역시 남구 월배로 468,35.8308193,128.5515522
92,남구,통합의료진흥원 전인병원,대구광역시 남구 두류공원로 77,35.842484,128.5717265
